ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-26,9532.422184434854,-1691.061676552845,12495.46553350202,9532.422184434854,9532.422184434854,-4301.482043859626,-4301.482043859626,-4301.482043859626,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602212104196,-12.273602212104196,-12.273602212104196,-1224.991148697835,-1224.991148697835,-1224.991148697835,0.0,0.0,0.0,5230.940140575228
2018-10-27,9523.81971268217,-812.1646028001488,12837.75972802429,9523.81971268217,9523.81971268217,-4164.262402496533,-4164.262402496533,-4164.262402496533,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812394681,-18.01495812394681,-18.01495812394681,-1082.0301514228984,-1082.0301514228984,-1082.0301514228984,0.0,0.0,0.0,5359.557310185638
2018-10-28,9515.217240929487,-1306.8968265017083,12169.68800151177,9515.217240929487,9515.217240929487,-4041.971754723282,-4041.971754723282,-4041.971754723282,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730321038,-34.10832730321038,-34.10832730321038,-943.6461344703847,-943.6461344703847,-943.6461344703847,0.0,0.0,0.0,5473.245486206205
2018-10-29,9506.614769176806,-1107.3425396348543,13273.378019228221,9506.614769176806,9506.614769176806,-3845.418666780113,-3845.418666780113,-3845.418666780113,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962856267,29.131018962856267,29.131018962856267,-810.3323927932821,-810.3323927932821,-810.3323927932821,0.0,0.0,0.0,5661.196102396692
2018-10-30,9498.01229742412,-1095.222057774285,12739.568570086762,9498.01229742412,9498.01229742412,-3772.9235938999277,-3772.9235938999277,-3772.9235938999277,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932933147,-26.220557932933147,-26.220557932933147,-682.485743017307,-682.485743017307,-682.485743017307,0.0,0.0,0.0,5725.088703524192
2018-10-31,9489.409825671439,-1259.9475324956586,12784.24750177603,9489.409825671439,9489.409825671439,-3547.7688153395507,-3547.7688153395507,-3547.7688153395507,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752217251,76.84810752217251,76.84810752217251,-560.3996299120362,-560.3996299120362,-560.3996299120362,0.0,0.0,0.0,5941.6410103318885
2018-11-01,9480.807353918755,-1104.9795017077997,13077.259044754774,9480.807353918755,9480.807353918755,-3523.839014901158,-3523.839014901158,-3523.839014901158,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680913035453,-15.361680913035453,-15.361680913035453,-444.2600410384352,-444.2600410384352,-444.2600410384352,0.0,0.0,0.0,5956.968339017598
2018-11-02,9472.204882166072,-699.3367165364492,12965.363253853919,9472.204882166072,9472.204882166072,-3410.635299324121,-3410.635299324121,-3410.635299324121,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211895524,-12.273602211895524,-12.273602211895524,-334.14440416253865,-334.14440416253865,-334.14440416253865,0.0,0.0,0.0,6061.56958284195
2018-11-03,9463.602410413388,-548.3110638265065,13306.978253108215,9463.602410413388,9463.602410413388,-3312.2557994845592,-3312.2557994845592,-3312.2557994845592,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.014958123597786,-18.014958123597786,-18.014958123597786,-230.02354841127453,-230.02354841127453,-230.02354841127453,0.0,0.0,0.0,6151.346610928829
2018-11-04,9454.999938660707,-870.1070929377852,13167.163941645358,9454.999938660707,9454.999938660707,-3230.092332502962,-3230.092332502962,-3230.092332502962,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.108327303011315,-34.108327303011315,-34.108327303011315,-131.7667122502637,-131.7667122502637,-131.7667122502637,0.0,0.0,0.0,6224.907606157745
2018-11-05,9446.397466908022,-739.1342996022258,13489.771322897583,9446.397466908022,9446.397466908022,-3074.2357563490086,-3074.2357563490086,-3074.2357563490086,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962744488,29.131018962744488,29.131018962744488,-39.149482362065605,-39.149482362065605,-39.149482362065605,0.0,0.0,0.0,6372.161710559013
2018-11-06,9437.794995155338,-1124.8200477029618,13545.608286254715,9437.794995155338,9437.794995155338,-3042.3023014782348,-3042.3023014782348,-3042.3023014782348,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932980327,-26.220557932980327,-26.220557932980327,48.135549404432744,48.135549404432744,48.135549404432744,0.0,0.0,0.0,6395.4926936771035
2018-11-07,9429.192523402655,-184.42328644877057,13911.197940637472,9429.192523402655,9429.192523402655,-2856.9034700035554,-2856.9034700035554,-2856.9034700035554,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752225857,76.84810752225857,76.84810752225857,130.46571542387315,130.46571542387315,130.46571542387315,0.0,0.0,0.0,6572.289053399099
2018-11-08,9420.590051649973,-649.436102053761,13505.08146619661,9420.590051649973,9420.590051649973,-2871.3057982474133,-2871.3057982474133,-2871.3057982474133,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.36168091323913,-15.36168091323913,-15.36168091323913,208.27317561551308,208.27317561551308,208.27317561551308,0.0,0.0,0.0,6549.28425340256
2018-11-09,9411.987579897288,-610.2561416099641,13386.494785743476,9411.987579897288,9411.987579897288,-2794.4626409007783,-2794.4626409007783,-2794.4626409007783,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211976986,-12.273602211976986,-12.273602211976986,282.0282542608856,282.0282542608856,282.0282542608856,0.0,0.0,0.0,6617.52493899651
2018-11-10,9403.385108144606,-742.0668586500657,14471.19279015135,9403.385108144606,9403.385108144606,-2730.010522996822,-2730.010522996822,-2730.010522996822,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.014958123818577,-18.014958123818577,-18.014958123818577,352.22172807668363,352.22172807668363,352.22172807668363,0.0,0.0,0.0,6673.374585147784
2018-11-11,9394.782636391923,-623.1990463271947,14129.074225492832,9394.782636391923,9394.782636391923,-2678.9789945949087,-2678.9789945949087,-2678.9789945949087,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730332843,-34.10832730332843,-34.10832730332843,419.3466256581071,419.3466256581071,419.3466256581071,0.0,0.0,0.0,6715.803641797014
2018-11-12,9386.18016463924,-168.91956423525946,13582.299175982265,9386.18016463924,9386.18016463924,-2551.2061507347603,-2551.2061507347603,-2551.2061507347603,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962921058,29.131018962921058,29.131018962921058,483.88012325200594,483.88012325200594,483.88012325200594,0.0,0.0,0.0,6834.974013904479
2018-11-13,9377.577692886556,-213.68638022684345,14109.492655166621,9377.577692886556,9377.577692886556,-2544.1717227683152,-2544.1717227683152,-2544.1717227683152,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932937876,-26.220557932937876,-26.220557932937876,546.2661281143099,546.2661281143099,546.2661281143099,0.0,0.0,0.0,6833.405970118241
