ds,yhat,yhat_lower,yhat_upper
2022-12-18,19977.395169959043,11828.02929316395,28552.114635043992
2022-12-19,20054.934881257544,11605.43268808139,27922.233925078413
2022-12-20,19983.58898266865,12300.893596506758,27516.411801545346
2022-12-21,20155.205340661687,12175.008247659991,29078.698531202386
2022-12-22,20057.18573211479,12697.973003500536,28027.71010524428
2022-12-23,20115.492913797774,12411.245946682904,27982.551048124828
2022-12-24,20184.69724119101,12163.490336418108,27933.88710439577
2022-12-25,20217.276321906953,12157.895800206057,27904.39300307234
2022-12-26,20398.190038883084,12470.343419778002,28619.653292702853
2022-12-27,20423.1623399343,12472.160618251743,28361.81888837576
2022-12-28,20681.694672593076,12898.769026023063,28746.443473685573
2022-12-29,20659.034557437917,12682.185396931549,28967.407065352163
2022-12-30,20779.24008337263,12670.028822701444,29088.28317479988
2022-12-31,20895.278864153843,12573.462684323717,29045.025386283276
2023-01-01,20958.373437245482,12498.312460060606,29369.213753182514
2023-01-02,21152.61408150311,12958.465599823654,28989.117247348833
2023-01-03,21173.269277498923,13534.345480494538,29304.656498602286
2023-01-04,21409.817738747697,12996.507031358711,29718.80670811179
2023-01-05,21347.924808838674,13167.499268223617,29234.29491096686
2023-01-06,21412.50358636912,12991.7923213208,30019.916002252696
2023-01-07,21457.799188776127,13347.25941465908,29213.095533734475
2023-01-08,21436.708310227274,13441.197178925138,29125.25400476463
2023-01-09,21535.355527095056,13662.16843845183,29675.71953264004
2023-01-10,21451.35734711032,13501.803588572579,29495.461229722037
2023-01-11,21576.79898191882,13256.359953157138,29554.614830811115
2023-01-12,21400.147944736924,13769.476573653728,29523.4501536507
2023-01-13,21349.246365428262,13174.794219069756,29025.650856275035
2023-01-14,21281.322150199667,13370.663851025773,29059.036996802253
2023-01-15,21152.23299900577,13910.621100621762,29041.21419440341
2023-01-16,21150.9666856126,12833.44501124669,29321.765883423417
2023-01-17,20977.83058974013,12744.129139924129,28649.685393459415
2023-01-18,21102.490868237346,13237.587832477227,28533.355223540537
2023-01-19,20940.4201551031,12941.629208811732,29254.150730551555
2023-01-20,20921.231736362337,12749.622768519861,29280.635701515374
2023-01-21,20903.507700004655,12841.226560576637,29315.178066356184
2023-01-22,20844.00361608184,12974.217263987679,29012.761441256793
2023-01-23,20932.120884376272,12733.702956204788,29467.19831161
2023-01-24,20868.08060662026,12139.69881833828,28855.86259217248
2023-01-25,21045.826494872916,12727.801816194045,29340.044599079436
2023-01-26,20954.883048136136,12733.607972869837,29179.652272393796
2023-01-27,21023.31255602013,13414.494468344212,29204.325951816227
2023-01-28,21107.712208695906,12772.065105799176,29487.498264647864
2023-01-29,21162.465926772482,13180.116549242735,29274.405118557454
2023-01-30,21374.27434255129,12847.641177157071,29078.35080151857
2023-01-31,21440.395367468594,13911.553685632873,28849.166832545343
2023-02-01,21751.621180001788,13428.41311377412,30040.88556100995
2023-02-02,21794.215976577765,12427.200966664555,30332.9563174527
2023-02-03,21992.955991515508,13720.573089522886,30514.05844108919
2023-02-04,22201.21090324533,13758.130438368795,30837.561498627376
2023-02-05,22370.279026507902,14489.861970440566,30369.337337266577
2023-02-06,22683.99751553459,14779.690177292488,30385.442117462288
2023-02-07,22837.057873472062,14758.968835942182,30154.19144003231
2023-02-08,23218.050588031023,14752.119100731898,31247.701115794942
2023-02-09,23311.461402006236,15541.229106469025,31365.85168696082
2023-02-10,23540.759122048596,15300.825762012773,31135.502370611288
2023-02-11,23758.51275625863,15083.651505422758,31921.072399091587
2023-02-12,23915.749367316927,15910.612047256847,32180.33892459033
2023-02-13,24196.57319609067,15588.938676898868,31881.17689945041
2023-02-14,24296.476044125797,16040.44137511613,31982.668277675435
2023-02-15,24605.36280169535,16531.314958789524,32824.62041058034
2023-02-16,24609.515070688412,16259.424070229325,32795.06731079475
2023-02-17,24734.633590402296,16043.8279786506,32971.78020778196
2023-02-18,24835.898405749413,17155.92162463572,32857.220101111896
2023-02-19,24867.25962850049,16580.34909847736,33236.06522539675
2023-02-20,25015.981087359585,17009.39902876896,33018.35592472208
2023-02-21,24980.868827383798,17058.160094976138,33092.53193996687
2023-02-22,25155.210496487154,17040.62788002758,33790.8120285141
2023-02-23,25028.650841061546,17378.10861262313,33043.197676069576
2023-02-24,25030.146352255604,17166.55098233509,33050.029986659756
2023-02-25,25017.940333884213,17255.708086079605,32601.856393223246
2023-02-26,24948.773509012717,17521.417526515168,33084.18328073574
2023-02-27,25012.35460100609,16780.96548405019,33367.971565344924
2023-02-28,24909.524804850356,17465.037871966866,32887.562729491925
2023-03-01,25035.143903814034,17706.193695522117,33052.893790098744
2023-03-02,24879.924685699913,16750.78098026642,32795.53293897198
2023-03-03,24873.359808023746,17167.281738522473,32860.38704161912
2023-03-04,24873.68313571476,16495.57715115108,32177.36482401423
2023-03-05,24837.081044852777,17330.828020913705,33498.211015759094
